"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","소재지우편번호","도로명우편번호","사업장명","데이터갱신구분","데이터갱신시점","도로명주소","상세영업상태명","상세영업상태코드","약국영업면적","영업상태코드","전화번호","좌표정보(X)","좌표정보(Y)","지번주소","지정일자","최종수정시점"
"3000000","PHMD120263000034084000002","2026-02-06","","영업/정상","","","","","03074","성대정문약국","I","2026-04-22 22:31:12","서울특별시 종로구 성균관로 34, 지강빌딩 1층 일부호 (명륜1가)","영업중","13","67","01","027628788","199673.029847493 ","453711.269847466 ","서울특별시 종로구 명륜1가 101-1 지강빌딩","2026-02-06","2026-03-03 16:33:47"
"3000000","PHMD120013000034084000002","2000-05-01","","영업/정상","","","","110-797","03025","현대약국","I","2026-04-22 22:31:07","서울특별시 종로구 통일로 246-10, 113호 (무악동)","영업중","13","49","01","027256569","196467.975088253 ","452566.134030104 ","서울특별시 종로구 무악동 82번지 113호","2000-05-01","2019-11-11 15:13:20"
"3000000","PHMD120013000034084000005","2001-04-03","","영업/정상","","","","","03109","숭인다모아약국","I","2026-04-22 22:31:07","서울특별시 종로구 지봉로8길 54 (숭인동)","영업중","13","77","01","027655885","201326.599610056 ","452717.098050476 ","서울특별시 종로구 숭인동 56-42외3필지","2001-04-03","2013-03-21 16:56:17"
"3000000","PHMD120023000034084000002","2003-04-16","","영업/정상","","","","","03195","열린약국","I","2026-04-22 22:31:07","서울특별시 종로구 종로 204, 1,2층 (종로4가)","영업중","13","34","01","0222648210","199965.982275193 ","452047.869956029 ","서울특별시 종로구 종로4가 185번지 1호","2003-04-16","2020-03-23 16:33:25"
"3000000","PHMD120023000034084000003","2000-07-27","","영업/정상","","","","","03082","함춘약국","I","2026-04-22 22:31:07","서울특별시 종로구 대학로 93, 대한성공회 대학로교회 1,2층 (연건동)","영업중","13","172","01","027410370","200089.912432586 ","453033.480875827 ","서울특별시 종로구 연건동 32번지 2호 대한성공회 대학로교회 1층, 2층","2000-07-27","2019-12-30 16:37:04"
"3000000","PHMD120023000034084000006","1984-02-04","","영업/정상","","","","","03146","수도약국","I","2026-04-22 22:31:08","서울특별시 종로구 인사동길 40 (관훈동)","영업중","13","74","01","027323336","198618.550103332 ","452417.125430606 ","서울특별시 종로구 관훈동 37","1984-02-04","2013-03-18 14:37:05"
"3000000","PHMD120033000034084000001","1976-11-19","","영업/정상","","","","","03111","정성약국","I","2026-04-22 22:31:08","서울특별시 종로구 종로 399 (숭인동)","영업중","13","25","01","029231363","201835.642245974 ","452536.763657871 ","서울특별시 종로구 숭인동 1051","1976-11-19","2013-03-17 15:56:12"
"3000000","PHMD120033000034084000004","2000-06-15","","영업/정상","","","","","03081","정문약국","I","2026-04-22 22:31:08","서울특별시 종로구 창경궁로 162-2, 원남빌딩 1,2층 (원남동)","영업중","13","232","01","027657200","199725.275938405 ","452734.287328161 ","서울특별시 종로구 원남동 128-1 원남빌딩","2000-06-15","2023-08-08 10:44:25"
"3000000","PHMD120063000034084000001","2001-03-29","","영업/정상","","","","","03181","건강한세상약국","I","2026-04-22 22:31:08","서울특별시 종로구 새문안로 21, 1,2,3,지하1층 (평동)","영업중","13","153","01","027337870","197100.454914007 ","451691.194358665 ","서울특별시 종로구 평동 178 1,2,3,지하1층","2001-03-29","2022-03-17 16:03:47"
"3000000","PHMD120063000034084000002","1973-02-08","","영업/정상","","","","","03075","성진약국","I","2026-04-22 22:31:08","서울특별시 종로구 창경궁로 271-1 (혜화동)","영업중","13","61","01","027622211","199984.033653033 ","453695.726399703 ","서울특별시 종로구 혜화동 114-2","1973-02-08","2017-07-10 17:07:16"
"3000000","PHMD120063000034084000004","1990-05-16","","영업/정상","","","","","03149","대도약국","I","2026-04-22 22:31:08","서울특별시 종로구 우정국로 38-1, 1층 (견지동)","영업중","13","28","01","027374510","198451.20372143 ","452243.628877399 ","서울특별시 종로구 견지동 109번지 1층","1990-05-16","2015-09-10 17:45:45"
"3000000","PHMD120063000034084000005","2006-09-25","","영업/정상","","","","110-270","03058","현대온누리약국","I","2026-04-22 22:31:08","서울특별시 종로구 율곡로 75, 지하1층 (계동)","영업중","13","19","01","027467750","198817.289034611 ","452901.786745273 ","서울특별시 종로구 계동 140번지 2호 지하1층","2006-09-25","2015-07-23 14:54:21"
"3000000","PHMD120063000034084000007","2008-07-31","","영업/정상","","","","110-111","03190","신코아약국","I","2026-04-22 22:31:08","서울특별시 종로구 종로12길 23, 1층 (관철동)","영업중","13","17","01","027349020","198686.19085244 ","451852.05285101 ","서울특별시 종로구 관철동 12번지 13호 1층","2008-07-31","2015-07-23 14:55:19"
"3000000","PHMD120063000034084000011","1994-10-21","","영업/정상","","","","","03121","보람약국","I","2026-04-22 22:31:08","서울특별시 종로구 종로 326 (창신동)","영업중","13","46","01","027663366","201166.750150846 ","452223.968412735 ","서울특별시 종로구 창신동 330-2","1994-10-21","2013-03-18 16:03:28"
"3000000","PHMD120063000034084000012","2006-08-17","","영업/정상","","","","110-450","03081","대서울약국","I","2026-04-22 22:31:08","서울특별시 종로구 창경궁로 158, 2층 (원남동)","영업중","13","150","01","027626060","199716.33793479 ","452685.639262724 ","서울특별시 종로구 원남동 118번지 1호 2층","2006-08-17","2022-08-10 16:56:44"
"3000000","PHMD120073000034084000002","2004-06-21","","영업/정상","","","","","03074","지영오행당약국","I","2026-04-22 22:31:08","서울특별시 종로구 성균관로 32-2 (명륜2가)","영업중","13","14","01","027669438","199672.623000243 ","453693.048895616 ","서울특별시 종로구 명륜동2가 71-2  1층","2004-06-21","2024-12-04 17:32:32"
"3000000","PHMD120073000034084000007","2006-12-22","","영업/정상","","","","","03105","대경약국","I","2026-04-22 22:31:08","서울특별시 종로구 종로51나길 2 (창신동)","영업중","13","41","01","027442434","201016.051671529 ","452256.135288263 ","서울특별시 종로구 창신동 143-18","2006-12-22","2025-02-10 14:29:07"
"3000000","PHMD120073000034084000015","2002-05-01","","영업/정상","","","","","03195","동아약국","I","2026-04-22 22:31:08","서울특별시 종로구 종로 192 (종로4가)","영업중","13","74","01","0222855702","199848.545951919 ","452035.159657949 ","서울특별시 종로구 종로4가 149-1","2002-05-01","2018-10-30 10:18:21"
"3000000","PHMD120073000034084000017","1992-03-19","","영업/정상","","","","","03189","광교약국","I","2026-04-22 22:31:08","서울특별시 종로구 청계천로 49 (관철동)","영업중","13","16","01","027344690","198439.799223407 ","451866.713438674 ","서울특별시 종로구 관철동 287","1992-03-19","2013-03-18 16:04:47"
"3000000","PHMD120073000034084000020","2006-04-17","","영업/정상","","","","","03074","소담약국","I","2026-04-22 22:31:08","서울특별시 종로구 성균관로 18 (명륜2가)","영업중","13","11","01","027652126","199723.347794924 ","453565.897387933 ","서울특별시 종로구 명륜동2가 143-9","2006-04-17","2013-06-06 10:52:05"
"3000000","PHMD120083000034084000004","1988-05-17","","영업/정상","","","","","03195","김해약국","I","2026-04-22 22:31:12","서울특별시 종로구 종로 206 (종로5가)","영업중","13","48","01","0222671551","199990.62229221 ","452046.010235692 ","서울특별시 종로구 종로5가 138-8","1988-05-17","2013-07-30 13:26:38"
"3000000","PHMD120083000034084000006","2003-05-01","","영업/정상","","","","","03192","동남약국","I","2026-04-22 22:31:09","서울특별시 종로구 종로 124 (종로3가)","영업중","13","23","01","0222733233","199160.928868703 ","451981.453721531 ","서울특별시 종로구 종로3가 123-2","2003-05-01","2025-06-05 17:34:08"
"3000000","PHMD119923000034084000001","1980-08-19","","영업/정상","","","","","03140","성당약국","I","2026-04-22 22:31:06","서울특별시 종로구 수표로 115, 1층 (낙원동)","영업중","13","14","01","027654342","198963.61017739 ","452139.796865021 ","서울특별시 종로구 낙원동 210번지","1980-08-19","2018-04-09 17:50:44"
"3000000","PHMD119923000034084000003","1975-05-31","","영업/정상","","","","","03085","한독약국","I","2026-04-22 22:31:06","서울특별시 종로구 동숭길 52 (동숭동)","영업중","13","16","01","027624636","200322.341016105 ","453141.774016418 ","서울특별시 종로구 동숭동 130-65","1975-05-31","2025-10-02 14:17:33"
"3000000","PHMD119923000034084000004","1994-07-19","","영업/정상","","","","","03196","백화점약국","I","2026-04-22 22:31:06","서울특별시 종로구 종로 234-1 (종로5가)","영업중","13","320","01","0222641161","200261.371462064 ","452052.440881296 ","서울특별시 종로구 종로5가 214-1","1994-07-19","2025-02-10 16:54:32"
"3000000","PHMD119943000034084000004","2000-12-29","","영업/정상","","","","110-460","03082","보광약국","I","2026-04-22 22:31:06","서울특별시 종로구 대학로 93-3, 1층 (연건동)","영업중","13","44","01","027622515","200083.011020794 ","453020.339609285 ","서울특별시 종로구 연건동 34번지 3호 1층","2000-12-29","2017-07-10 18:24:39"
"3000000","PHMD119943000034084000005","1992-03-23","","영업/정상","","","","","03089","효성약국","I","2026-04-22 22:31:06","서울특별시 종로구 창신길 95 (창신동)","영업중","13","32","01","027634386","200840.8822373 ","452618.366062301 ","서울특별시 종로구 창신2동 634","1992-03-23","2024-10-29 09:12:06"
"3000000","PHMD119963000034084000001","2005-02-18","","영업/정상","","","","","03113","캐슬온누리약국","I","2026-04-22 22:31:07","서울특별시 종로구 종로 347, 207호 (숭인동, 롯데캐슬천지인상가)","영업중","13","50","01","0236720305","201359.53353905 ","452395.659064842 ","서울특별시 종로구 숭인동 76 롯데캐슬 천지인상가 207호","2005-02-18","2013-06-06 10:42:41"
"3000000","PHMD119973000034084000002","1977-11-10","","영업/정상","","","","","03008","경일약국","I","2026-04-22 22:31:07","서울특별시 종로구 평창문화로 35 (평창동)","영업중","13","18","01","023913469","196860.893154849 ","455863.128343879 ","서울특별시 종로구 평창동 300-1","1977-11-10","2025-10-21 13:07:50"
"3000000","PHMD119973000034084000003","1976-12-06","","영업/정상","","","","","03133","은성약국","I","2026-04-22 22:31:07","서울특별시 종로구 삼일대로 434 (낙원동)","영업중","13","16","01","027654808","198882.395618489 ","452339.533341108 ","서울특별시 종로구 낙원동 62","1976-12-06","2024-11-11 10:16:50"
"3000000","PHMD119983000034084000001","1995-01-20","","영업/정상","","","","110-853","03195","동시약국","I","2026-04-22 22:31:07","서울특별시 종로구 종로 202-1 (종로4가, 동흥빌딩)","영업중","13","55","01","0222684055","199952.240592763 ","452032.258639972 ","서울특별시 종로구 종로4가 165번지 1호 동흥빌딩","1995-01-20","2018-10-30 10:21:04"
"3000000","PHMD119993000034084000003","1973-02-10","","영업/정상","","","","","03070","보성온누리약국","I","2026-04-22 22:31:07","서울특별시 종로구 명륜길 22 (명륜1가)","영업중","13","55","01","027626654","199547.888288286 ","454013.33417032 ","서울특별시 종로구 명륜1가 10-22","1973-02-10","2025-10-14 14:46:03"
"3000000","PHMD119993000034084000005","1994-01-26","","영업/정상","","","","","03125","영화약국","I","2026-04-22 22:31:07","서울특별시 종로구 종로41길 47 (종로6가)","영업중","13","22","01","027644868","200449.551038573 ","452334.550076414 ","서울특별시 종로구 종로6가 215-56","1994-01-26","2020-04-24 11:24:22"
"3000000","PHMD120003000034084000002","1989-08-28","","영업/정상","","","","","03170","새현대약국","I","2026-04-22 22:31:07","서울특별시 종로구 사직로 130, 적선현대빌딩 지하층 10호 (적선동)","영업중","13","18","01","027205662","197567.849954354 ","452567.159554494 ","서울특별시 종로구 적선동 80 적선현대빌딩","1989-08-28","2025-05-02 16:50:17"
"3000000","PHMD120003000034084000009","2008-07-30","","영업/정상","","","","110-080","03030","인성약국","I","2026-04-22 22:31:12","서울특별시 종로구 통일로 250 (무악동)","영업중","13","28","01","023638311","196216.695084581 ","452495.361879798 ","서울특별시 종로구 무악동 42번지 2호","2008-07-30","2025-10-10 09:53:14"
"3000000","PHMD120003000034084000012","2000-08-14","","영업/정상","","","","","03081","한마음약국","I","2026-04-22 22:31:07","서울특별시 종로구 창경궁로 158 (원남동)","영업중","13","154","01","0236764411","199716.33793479 ","452685.639262724 ","서울특별시 종로구 원남동 118-1 1층","2000-08-14","2017-07-10 17:16:29"
"3000000","PHMD120003000034084000013","1984-01-13","","영업/정상","","","","","03191","국일약국","I","2026-04-22 22:31:07","서울특별시 종로구 종로16길 12 (관철동)","영업중","13","24","01","0222757225","198914.988666314 ","451918.932552893 ","서울특별시 종로구 관철동 5-1","1984-01-13","2018-11-14 10:58:01"
"3000000","PHMD119693000034084000001","1974-10-28","","영업/정상","","","","","03044","시민약국","I","2026-04-22 22:31:05","서울특별시 종로구 자하문로 2 (적선동)","영업중","13","26","01","027366512","197521.540529717 ","452673.955182068 ","서울특별시 종로구 적선동 106-3","1974-10-28","2025-10-01 16:39:40"
"3000000","PHMD119733000034084000001","2003-01-02","","영업/정상","","","","","03035","종로프라자약국","I","2026-04-22 22:31:05","서울특별시 종로구 자하문로 63 (옥인동)","영업중","13","71","01","027360806","197331.05502294 ","453256.667445308 ","서울특별시 종로구 옥인동 19-33","2003-01-02","2025-02-13 17:11:37"
"3000000","PHMD119763000034084000001","2007-01-02","","영업/정상","","","","","03127","희망약국","I","2026-04-22 22:31:05","서울특별시 종로구 율곡로 204 (연건동)","영업중","13","49","01","027471139","200064.606756121 ","452621.221821863 ","서울특별시 종로구 연건동 198-2","2007-01-02","2025-10-21 11:06:42"
"3000000","PHMD119763000034084000002","2000-06-12","","영업/정상","","","","","03157","참약국","I","2026-04-22 22:31:05","서울특별시 종로구 종로 19, 르메이에르종로타운1 517호 (종로1가)","영업중","13","25","01","027374855","198150.300374121 ","452019.212642931 ","서울특별시 종로구 종로1가 24 르메이에르종로타운1 517호","2000-06-12","2023-04-28 11:34:59"
"3000000","PHMD119773000034084000002","1999-02-27","","영업/정상","","","","","03069","명륜시장약국","I","2026-04-22 22:31:05","서울특별시 종로구 성균관로 56-1 (명륜1가)","영업중","13","42","01","027473443","199648.791361407 ","453932.166381959 ","서울특별시 종로구 명륜동1가 16-31","1999-02-27","2024-12-04 17:28:45"
"3000000","PHMD119793000034084000005","2005-05-26","","영업/정상","","","","","03124","종로세란약국","I","2026-04-22 22:31:05","서울특별시 종로구 종로41길 4 (종로6가)","영업중","13","23","01","027633237","200537.031717848 ","452131.345255265 ","서울특별시 종로구 종로6가 127-1","2005-05-26","2016-11-10 16:03:56"
"3000000","PHMD119803000034084000001","2008-03-03","","영업/정상","","","","110-540","03103","성심약국","I","2026-04-22 22:31:05","서울특별시 종로구 지봉로 61, 1층 (창신동)","영업중","13","37","01","027432062","201296.894098318 ","452581.682223244 ","서울특별시 종로구 창신동 25번지 4호","2008-03-03","2025-06-27 17:32:38"
"3000000","PHMD119803000034084000002","1968-01-10","","영업/정상","","","","110-053","","민약국","I","2026-04-22 22:31:05","서울특별시 종로구 사직로12길 26 (내자동)","영업중","13","15","01","027388816","197356.645348297 ","452516.581068896 ","서울특별시 종로구 내자동 180번지","1968-01-10","2011-01-18 16:38:14"
"3000000","PHMD119803000034084000003","1985-01-06","","영업/정상","","","","","03071","동호약국","I","2026-04-22 22:31:12","서울특별시 종로구 성균관로 53 (명륜3가)","영업중","13","39","01","027424816","199616.485901108 ","453902.575661941 ","서울특별시 종로구 명륜동 3가 2-3","1985-01-06","2026-03-31 10:51:43"
"3000000","PHMD119803000034084000006","2004-03-02","","영업/정상","","","","110-053","03041","내자약국","I","2026-04-22 22:31:05","서울특별시 종로구 사직로 107, 1층 (내자동, 한빛빌딩)","영업중","13","39","01","0263262007","197348.44253811 ","452671.549044338 ","서울특별시 종로구 내자동 26번지 한빛빌딩 1층","2004-03-02","2020-03-02 10:37:50"
"3000000","PHMD119843000034084000002","1968-11-15","","영업/정상","","","","","03139","진약국","I","2026-04-22 22:31:05","서울특별시 종로구 돈화문로9가길 20 (돈의동)","영업중","13","16","01","027650473","199139.803772434 ","452209.328979395 ","서울특별시 종로구 돈의동 103-68","1968-11-15","2013-06-06 10:17:15"
"3000000","PHMD119873000034084000002","1996-09-18","","영업/정상","","","","","03044","옥인온누리약국","I","2026-04-22 22:31:12","서울특별시 종로구 자하문로2길 4, 103호 (적선동, 경복빌딩)","영업중","13","80","01","027251490","197538.542807564 ","452679.892786314 ","서울특별시 종로구 적선동 100-1  경복빌딩 103호","1996-09-18","2025-04-01 13:42:14"
"3000000","PHMD119883000034084000001","1979-10-13","","영업/정상","","","","","03079","정민약국","I","2026-04-22 22:31:06","서울특별시 종로구 대학로9길 37 (명륜4가)","영업중","13","16","01","027633248","199929.911959895 ","453296.399822007 ","서울특별시 종로구 명륜4가 144","1979-10-13","2013-03-18 16:45:06"
"3000000","PHMD119883000034084000002","1994-07-11","","영업/정상","","","","","03196","종근당약국","I","2026-04-22 22:31:06","서울특별시 종로구 종로 230-1 (종로5가)","영업중","13","85","01","0222741311","200222.040360666 ","452054.493221716 ","서울특별시 종로구 종로5가 193-20,21","1994-07-11","2020-03-10 17:06:23"
"3000000","PHMD119883000034084000005","1985-09-04","","영업/정상","","","","","03034","우리약국","I","2026-04-22 22:31:06","서울특별시 종로구 옥인길 32-5 (옥인동)","영업중","13","17","01","027389179","196996.645492903 ","453200.309483888 ","서울특별시 종로구 옥인동 170-3,4","1985-09-04","2025-03-21 17:32:13"
"3000000","PHMD120233000034084000020","2023-12-18","","영업/정상","","","","","03147","문우약국","I","2026-04-22 22:31:11","서울특별시 종로구 율곡로 지하62, 3호선 안국역 지하3층 316호 (안국동)","영업중","13","26","01","027331088","198563.138038309 ","452739.759362114 ","서울특별시 종로구 안국동 73-1 3호선 안국역","2023-12-18","2023-12-18 09:21:18"
"3000000","PHMD120243000034084000001","2024-02-01","","영업/정상","","","","","03130","새종로약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 199-2, 1-3층 (종로4가)","영업중","13","172","01","0236728558","199926.168965464 ","452095.076003705 ","서울특별시 종로구 종로4가 2-16","2024-02-01","2026-01-27 18:02:48"
"3000000","PHMD120243000034084000002","2024-03-04","","영업/정상","","","","","03181","삼성제일약국","I","2026-04-22 22:31:11","서울특별시 종로구 새문안로 15-1, 1층 (평동)","영업중","13","98","01","","197056.75935224 ","451658.76871749 ","","2024-03-04","2024-03-04 10:31:01"
"3000000","PHMD120243000034084000003","2024-03-15","","영업/정상","","","","","03138","종로팔팔온누리약국","I","2026-04-22 22:31:11","서울특별시 종로구 돈화문로 지하30, 3호선 종로3가역 지하2층 319-205-4호 (묘동)","영업중","13","86","01","","199214.362022069 ","452131.74440025 ","서울특별시 종로구 묘동 20-5 3호선 종로3가역","2024-03-15","2026-01-12 11:42:22"
"3000000","PHMD120243000034084000004","2024-03-22","","영업/정상","","","","","03114","동묘호약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 344, 106호 (숭인동, 종로대우디오빌)","영업중","13","20","01","0222330961","201350.473375538 ","452279.7442603 ","서울특별시 종로구 숭인동 310 종로대우디오빌","2024-03-22","2024-03-22 10:35:12"
"3000000","PHMD120243000034084000005","2024-05-03","","영업/정상","","","","","03114","동묘약국","I","2026-04-22 22:31:12","서울특별시 종로구 종로58길 44, 1층 (숭인동, 청계 로벤하임)","영업중","13","33","01","0222387119","201551.11122823 ","452134.141223441 ","서울특별시 종로구 숭인동 240-1 청계 로벤하임","2024-05-03","2025-11-19 10:23:40"
"3000000","PHMD120243000034084000006","2024-06-25","","영업/정상","","","","","03195","우정약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 200-4, 제우빌딩 1층 (종로4가)","영업중","13","72","01","0222778566","199920.493510457 ","452031.129171537 ","서울특별시 종로구 종로4가 177 제우빌딩","2024-06-25","2024-06-25 17:23:04"
"3000000","PHMD120243000034084000007","2024-07-19","","영업/정상","","","","","03149","세계로약국","I","2026-04-22 22:31:11","서울특별시 종로구 우정국로 36, 1층 (공평동)","영업중","13","31","01","027373338","198453.298901231 ","452209.827543243 ","서울특별시 종로구 공평동 9","2024-07-19","2024-07-19 15:56:47"
"3000000","PHMD120243000034084000008","2024-08-29","","영업/정상","","","","","03181","삼성대학약국","I","2026-04-22 22:31:11","서울특별시 종로구 새문안로 19, 1층,2층 (평동)","영업중","13","141","01","027306063","197094.551652537 ","451683.728773742 ","","2024-08-29","2025-02-25 16:39:06"
"3000000","PHMD120243000034084000010","2024-09-13","","영업/정상","","","","","03129","종로연세약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 209-1, 1층 (종로5가)","영업중","13","53","01","027470555","200025.907565959 ","452098.033635188 ","서울특별시 종로구 종로5가 98-5","2024-09-13","2024-11-27 16:51:15"
"3000000","PHMD120243000034084000011","2024-09-30","","영업/정상","","","","","03126","종로제일약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 233, 1층 일부호 (종로5가)","영업중","13","42","01","027667635","200252.016668912 ","452106.628872394 ","서울특별시 종로구 종로5가 43-1","2024-09-30","2024-11-21 16:41:36"
"3000000","PHMD120253000034084000001","2025-01-14","","영업/정상","","","","","03165","빨간문약국","I","2026-04-22 22:31:12","서울특별시 종로구 송월길 99, 2124호 (홍파동, 경희궁자이 2단지)","영업중","13","31","01","","196711.256846666 ","452060.860508565 ","서울특별시 종로구 홍파동 199 경희궁자이 2단지","2025-01-14","2026-01-27 17:59:14"
"3000000","PHMD120253000034084000002","2025-01-21","","영업/정상","","","","","03195","대웅약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 190, 1층 (종로4가)","영업중","13","104","01","0222729947","199824.438542568 ","452032.702161687 ","서울특별시 종로구 종로4가 141-1","2025-01-21","2025-09-29 17:25:06"
"3000000","PHMD120203000034084000005","2020-03-05","","영업/정상","","","","","03151","호수약국","I","2026-04-22 22:31:11","서울특별시 종로구 삼봉로 57, 호수빌딩 지하1층 (수송동)","영업중","13","41","01","027335300","198205.621520751 ","452254.217603167 ","서울특별시 종로구 수송동 68번지 1호 호수빌딩 지하1층","2020-03-05","2020-03-05 16:34:01"
"3000000","PHMD120203000034084000008","2020-05-25","","영업/정상","","","","","03196","일신약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 224, 1층 (종로5가)","영업중","13","87","01","0222647885","200156.418976973 ","452051.431532975 ","서울특별시 종로구 종로5가 182번지 2호","2020-05-25","2020-05-25 14:12:45"
"3000000","PHMD120143000034084000006","2014-02-11","","영업/정상","","","","110-773","03190","플러스약국","I","2026-04-22 22:31:10","서울특별시 종로구 종로 78, 1층 (종로2가, 미려빌딩)","영업중","13","17","01","027334163","198696.792161159 ","451962.68240104 ","서울특별시 종로구 종로2가 75번지 9호 미려빌딩 1층","2014-02-11","2024-09-19 13:40:32"
"3000000","PHMD120143000034084000007","2014-02-13","","영업/정상","","","","110-776","03147","안국온누리약국","I","2026-04-22 22:31:12","서울특별시 종로구 삼일대로 461, 101동 203호 (경운동, 운현궁에스케이허브)","영업중","13","35","01","0262838008","198658.943470079 ","452604.254902527 ","서울특별시 종로구 경운동 89번지 4호 운현궁에스케이허브 101동 203호","2014-02-13","2022-03-25 15:42:46"
"3000000","PHMD120143000034084000012","2014-03-11","","영업/정상","","","","","03077","튼튼약국","I","2026-04-22 22:31:10","서울특별시 종로구 창경궁로34길 18-5, 1층 (명륜2가)","영업중","13","39","01","027622323","199992.660593748 ","453532.019573946 ","서울특별시 종로구 명륜2가 21번지 9호 1층","2014-03-11","2017-07-10 18:40:02"
"3000000","PHMD120143000034084000019","2014-09-22","","영업/정상","","","","110-240","03060","안국3층약국","I","2026-04-22 22:31:10","서울특별시 종로구 율곡로 47, 305호 (안국동)","영업중","13","26","01","027358242","198565.677043996 ","452670.232135872 ","서울특별시 종로구 안국동 163번지 305호","2014-09-22","2025-10-21 13:21:34"
"3000000","PHMD120143000034084000021","2014-11-07","","영업/정상","","","","","03159","바로약국","I","2026-04-22 22:31:10","서울특별시 종로구 종로 33, 그랑서울 1층 103, 104호 (청진동)","영업중","13","49","01","0221587900","198286.311784052 ","452091.444332546 ","서울특별시 종로구 청진동 70 그랑서울","2014-11-07","2025-01-07 09:03:12"
"3000000","PHMD120143000034084000025","2014-12-30","","영업/정상","","","","110-530","03076","혜화약국","I","2026-04-22 22:31:10","서울특별시 종로구 혜화로 8 (혜화동)","영업중","13","70","01","027620373","199977.671430146 ","453798.839565391 ","서울특별시 종로구 혜화동 109번지 1호","2014-12-30","2014-12-30 10:19:56"
